Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:13:11:49:48.689190,C9,_init_,ftdi: None,,None
2021:10:13:11:49:49.337654,C9,PING,,None,None
2021:10:13:11:49:49.617852,C9,PING,,None,None
2021:10:13:11:49:49.950980,C9,BIAS,,None,None
2021:10:13:11:49:50.256754,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:13:11:49:50.647542,C9,BIAS,bias: 0,None,None
2021:10:13:11:49:50.903443,C9,HOME,if_needed: 1,None,None
2021:10:13:11:49:51.185298,C9,CURR,axis: 0,None,None
2021:10:13:11:49:51.597399,C9,CURR,axis: 0,None,None
2021:10:13:11:49:51.926742,C9,CURR,axis: 0,None,None
2021:10:13:11:49:52.315919,C9,CURR,axis: 0,None,None
2021:10:13:11:49:52.688035,C9,CURR,axis: 0,None,None
2021:10:13:11:49:53.048819,C9,CURR,axis: 0,None,None
2021:10:13:11:49:53.435104,C9,CURR,axis: 0,None,None
2021:10:13:11:49:53.804377,C9,CURR,axis: 0,None,None
2021:10:13:11:49:54.177213,C9,CURR,axis: 0,None,None
2021:10:13:11:49:54.550784,C9,CURR,axis: 0,None,None
2021:10:13:11:49:54.873501,Tecan Cavro,_init_,ftdi: None,,None
2021:10:13:11:49:55.289000,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:13:11:49:55.498481,Magnetic Stirrer,IN_NAME,,None,None
2021:10:13:11:49:55.623884,Magnetic Stirrer,IN_PV_1,,None,None
2021:10:13:11:49:55.738590,Magnetic Stirrer,IN_PV_2,,None,None
2021:10:13:11:49:55.866141,Magnetic Stirrer,IN_SP_1,,None,None
2021:10:13:11:49:55.982376,Magnetic Stirrer,IN_PV_4,,None,None
2021:10:13:11:49:56.104065,Magnetic Stirrer,IN_SP_4,,None,None
2021:10:13:11:49:56.241492,Magnetic Stirrer,STOP_4,,None,None
2021:10:13:11:49:56.289385,Magnetic Stirrer,STOP_1,,None,None
2021:10:13:11:50:09.987224,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None
2021:10:13:11:50:10.032105,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None
2021:10:13:11:50:11.390810,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:10:13:11:50:17.576351,ArduinoAugmentedQuantos,lock_dosing_pin_position,,None,None
2021:10:13:11:50:33.977857,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None
2021:10:13:11:50:37.241416,ArduinoAugmentedQuantos,lock_dosing_pin_position,,None,None
2021:10:13:11:50:53.610326,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None
2021:10:13:11:50:55.642143,ArduinoAugmentedQuantos,home_z_stage,,None,None
2021:10:13:11:51:03.791170,ArduinoAugmentedQuantos,move_z_stage,"steps: 3000, speed: 400",None,None
2021:10:13:11:51:09.166817,ArduinoAugmentedQuantos,front_door_position,open,,None
2021:10:13:11:51:09.805816,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None
2021:10:13:11:51:12.353137,UR3Arm,move_joints,"velocity: 60, joint_positions: [-262.2513869387633, -89.6793362905978, -106.6906694018607, 197.42646335759426, -170.54852948174175, 721.9970653510417], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:13:11:51:12.681267,UR3Arm,open_gripper,"position: 0, force: None, velocity: None, wait: True, timeout: None",None,None
2021:10:13:11:51:16.479902,UR3Arm,move_joints,"velocity: 60, joint_positions: [-228.49844987201453, -76.00634942136446, -45.661563129962765, 124.4705627192901, -131.90193945959726, 722.9002076046141], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:13:11:51:19.688966,UR3Arm,move_joints,"velocity: 60, joint_positions: [-190.48292834804423, -47.285895735081084, -102.0669865035989, 145.10603952275935, -131.9327982542674, 723.6064764855502], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:13:11:51:25.119039,UR3Arm,move_joints,"velocity: 60, joint_positions: [-70.4596477240486, -24.067022821459577, -97.97712387010863, 126.18917491824871, -108.0798105781019, 723.5066737613979], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:13:11:51:30.640133,UR3Arm,move_joints,"velocity: 60, joint_positions: [-71.08633124077559, -38.10281567902566, -118.99077458754314, 156.31896983787252, 15.454710016122872, 723.39515043263], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:13:11:51:33.456193,UR3Arm,move_joints,"velocity: 60, joint_positions: [-52.58897685508715, -82.11512035086213, -88.96985288328933, 169.82006816645332, 40.87197493676136, 723.4591766259097], acceleration: None, relative: False, wait: True, timeout: None",None,None
