Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:15:13:21:42.085198,C9,_init_,ftdi: None,,None
2021:10:15:13:21:42.790313,C9,PING,,None,None
2021:10:15:13:21:43.144367,C9,BIAS,,None,None
2021:10:15:13:21:43.454195,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:15:13:21:43.734237,C9,BIAS,bias: 0,None,None
2021:10:15:13:21:44.007780,C9,HOME,if_needed: 1,None,None
2021:10:15:13:21:44.288240,C9,CURR,axis: 0,None,None
2021:10:15:13:21:44.724704,C9,CURR,axis: 0,None,None
2021:10:15:13:21:45.172212,C9,CURR,axis: 0,None,None
2021:10:15:13:21:45.609272,C9,CURR,axis: 0,None,None
2021:10:15:13:21:46.023030,C9,CURR,axis: 0,None,None
2021:10:15:13:21:46.463341,C9,CURR,axis: 0,None,None
2021:10:15:13:21:46.882615,C9,CURR,axis: 0,None,None
2021:10:15:13:21:47.329675,C9,CURR,axis: 0,None,None
2021:10:15:13:21:47.760072,C9,CURR,axis: 0,None,None
2021:10:15:13:21:48.180488,C9,CURR,axis: 0,None,None
2021:10:15:13:21:48.541997,Tecan Cavro,_init_,ftdi: None,,None
2021:10:15:13:21:48.974286,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:15:13:21:49.183265,Magnetic Stirrer,IN_NAME,,None,None
2021:10:15:13:21:49.312065,Magnetic Stirrer,IN_PV_1,,None,None
2021:10:15:13:21:49.442653,Magnetic Stirrer,IN_PV_2,,None,None
2021:10:15:13:21:49.576916,Magnetic Stirrer,IN_SP_1,,None,None
2021:10:15:13:21:49.703296,Magnetic Stirrer,IN_PV_4,,None,None
2021:10:15:13:21:49.819970,Magnetic Stirrer,IN_SP_4,,None,None
2021:10:15:13:21:49.945574,Magnetic Stirrer,STOP_4,,None,None
2021:10:15:13:21:50.003514,Magnetic Stirrer,STOP_1,,None,None
2021:10:15:13:22:03.704741,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None
2021:10:15:13:22:03.756600,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None
2021:10:15:13:22:06.779250,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:10:15:13:22:13.196181,ArduinoAugmentedQuantos,lock_dosing_pin_position,,None,None
2021:10:15:13:22:29.321747,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None
2021:10:15:13:22:32.542021,ArduinoAugmentedQuantos,lock_dosing_pin_position,,None,None
2021:10:15:13:22:48.760763,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None
2021:10:15:13:22:57.933483,ArduinoAugmentedQuantos,home_z_stage,,None,None
2021:10:15:13:23:06.080371,ArduinoAugmentedQuantos,move_z_stage,"steps: 3000, speed: 400",None,None
2021:10:15:13:23:11.474382,ArduinoAugmentedQuantos,front_door_position,open,,None
2021:10:15:13:23:12.050828,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None
2021:10:15:13:23:14.021131,UR3Arm,move_joints,"velocity: 60, joint_positions: [-262.2513869387633, -89.6793362905978, -106.6906694018607, 197.42646335759426, -170.54852948174175, 721.9970653510417], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:14.257461,UR3Arm,open_gripper,"position: 0, force: None, velocity: None, wait: True, timeout: None",None,None
2021:10:15:13:23:17.556106,UR3Arm,move_joints,"velocity: 60, joint_positions: [-228.49844987201453, -76.00634942136446, -45.661563129962765, 124.4705627192901, -131.90193945959726, 722.9002076046141], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:20.461460,UR3Arm,move_joints,"velocity: 60, joint_positions: [-190.48292834804423, -47.285895735081084, -102.0669865035989, 145.10603952275935, -131.9327982542674, 723.6064764855502], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:25.192276,UR3Arm,move_joints,"velocity: 60, joint_positions: [-70.4596477240486, -24.067022821459577, -97.97712387010863, 126.18917491824871, -108.0798105781019, 723.5066737613979], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:30.120143,UR3Arm,move_joints,"velocity: 60, joint_positions: [-71.08633124077559, -38.10281567902566, -118.99077458754314, 156.31896983787252, 15.454710016122872, 723.39515043263], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:32.633684,UR3Arm,move_joints,"velocity: 60, joint_positions: [-52.58897685508715, -82.11512035086213, -88.96985288328933, 169.82006816645332, 40.87197493676136, 723.4591766259097], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:34.440731,UR3Arm,move_joints,"velocity: 60, joint_positions: [-33.13588775921715, -104.79054607544806, -85.94743953404533, 188.94984342777158, 56.366136125530225, 720.1899339004397], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:37.649762,UR3Arm,move_joints,"velocity: 60, joint_positions: [-55.13721115139219, -142.08217683042378, -18.5129681981311, 160.49259791134384, 34.78034778208043, 720.1424914064648], acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:39.265662,UR3Arm,move_to_location,"velocity: 80, location: Location(x=-147.6, y=-399.1, z=282.8, rx=90.0, ry=-1.324, rz=-90.0), frame: None, acceleration: None, relative: False, wait: True, timeout: None",None,None
2021:10:15:13:23:39.706488,UR3Arm,open_gripper,"velocity: 0, position: 0.5, force: None, wait: True, timeout: None",None,None
