Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:09:27:14:07:52.840774,C9,_init_,ftdi: None,,None
2021:09:27:14:07:53.279640,C9,PING,,None,None
2021:09:27:14:07:53.580055,C9,BIAS,,None,None
2021:09:27:14:07:53.823683,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:27:14:07:53.957383,C9,BIAS,bias: 0,None,None
2021:09:27:14:07:54.083080,C9,HOME,if_needed: 1,None,None
2021:09:27:14:07:54.210907,C9,SPED,,None,None
2021:09:27:14:07:54.322620,C9,BIAS,,None,None
2021:09:27:14:07:54.436298,C9,SPED,"velocity: 40000, acceleration: 100000",None,None
2021:09:27:14:07:54.553019,C9,BIAS,bias: 2,None,None
2021:09:27:14:07:54.670710,C9,POS,"axes: 1,units: 1",None,None
2021:09:27:14:07:54.792390,C9,POS,"axes: 2,units: 1",None,None
2021:09:27:14:07:54.915435,C9,POS,"axes: 0,units: 1",None,None
2021:09:27:14:07:55.043310,C9,POS,C: 1,None,None
2021:09:27:14:07:56.008982,C9,JLEN,length_offset: 0,None,None
2021:09:27:14:07:56.123682,C9,ARM,"X: 253147, Y: -123400, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:07:56.364036,C9,POS,"axes: 1,units: 1",None,None
2021:09:27:14:07:56.487911,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:56.618715,C9,POS,"axes: 2,units: 1",None,None
2021:09:27:14:07:56.742550,C9,ARM,"X: 257679, Y: -114273, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:07:57.005946,C9,POS,"axes: 0,units: 1",None,None
2021:09:27:14:07:57.123628,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:57.289191,C9,POS,C: 1,None,None
2021:09:27:14:07:57.455971,C9,ARM,"X: 257679, Y: -115289, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:07:58.198041,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:58.322825,C9,ARM,"X: 258851, Y: -105290, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:07:58.607064,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:58.742805,C9,ARM,"X: 258851, Y: -95290, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:07:59.033242,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:59.164890,C9,ARM,"X: 257819, Y: -85290, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:07:59.451154,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:59.587765,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:59.739790,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:07:59.875432,C9,ARM,"X: 247819, Y: -83862, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:00.168867,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:00.298706,C9,ARM,"X: 237820, Y: -81719, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:00.580945,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:00.712791,C9,ARM,"X: 242508, Y: -72672, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:00.965116,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:01.099342,C9,ARM,"X: 248679, Y: -64497, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:01.345784,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:01.469550,C9,ARM,"X: 257508, Y: -59418, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:01.728085,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:01.858737,C9,ARM,"X: 267117, Y: -56640, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:02.145971,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:02.275625,C9,ARM,"X: 276726, Y: -53942, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
2021:09:27:14:08:02.559974,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:14:08:02.704587,C9,ARM,"X: 286258, Y: -51243, Z: 300070, gripper: 78567, elbow_bias: 2",None,None
