id,Timestamp,Module,Method_Name,Arguments,Responses,Exceptions,Execution Time (Sec),Arrival_Time,Departure_Time
1,2021:10:20:13:25:10.560873,C9,_init_,ftdi: None,,None,0.035224799066782,2021:10:20:13:25:09.579214,2021:10:20:13:25:09.628182
7,2021:10:20:13:25:11.380015,C9,PING,,None,None,0.0003654999891296,2021:10:20:13:25:10.388715,2021:10:20:13:25:10.444682
14,2021:10:20:13:25:11.855102,C9,BIAS,,None,None,0.0001347999932477,2021:10:20:13:25:10.865424,2021:10:20:13:25:10.919391
21,2021:10:20:13:25:12.314234,C9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.0001585999998496,2021:10:20:13:25:11.323143,2021:10:20:13:25:11.379108
28,2021:10:20:13:25:12.741380,C9,BIAS,bias: 0,None,None,0.0001368999946862,2021:10:20:13:25:11.748883,2021:10:20:13:25:11.805845
35,2021:10:20:13:25:13.160266,C9,HOME,if_needed: 1,None,None,0.0003497999859973,2021:10:20:13:25:12.165627,2021:10:20:13:25:12.224590
42,2021:10:20:13:25:13.585541,C9,CURR,axis: 0,None,None,0.0001875000016298,2021:10:20:13:25:12.593364,2021:10:20:13:25:12.652327
49,2021:10:20:13:25:13.994940,C9,CURR,axis: 0,None,None,0.0001412999990861,2021:10:20:13:25:13.009108,2021:10:20:13:25:13.060083
56,2021:10:20:13:25:14.418821,C9,CURR,axis: 0,None,None,0.00017939999816,2021:10:20:13:25:13.419856,2021:10:20:13:25:13.482817
63,2021:10:20:13:25:14.828318,C9,CURR,axis: 0,None,None,0.0001713999954517,2021:10:20:13:25:13.832604,2021:10:20:13:25:13.893565
70,2021:10:20:13:25:15.234237,C9,CURR,axis: 0,None,None,0.0001425999944331,2021:10:20:13:25:14.244349,2021:10:20:13:25:14.298314
77,2021:10:20:13:25:15.643428,C9,CURR,axis: 0,None,None,0.0001904999953694,2021:10:20:13:25:14.650100,2021:10:20:13:25:14.709064
84,2021:10:20:13:25:16.087800,C9,CURR,axis: 0,None,None,0.0001066999975591,2021:10:20:13:25:15.067844,2021:10:20:13:25:15.152792
91,2021:10:20:13:25:16.531464,C9,CURR,axis: 0,None,None,0.0001689000055193,2021:10:20:13:25:15.536555,2021:10:20:13:25:15.597518
98,2021:10:20:13:25:16.939574,C9,CURR,axis: 0,None,None,0.0002847000141628,2021:10:20:13:25:15.946304,2021:10:20:13:25:16.004269
105,2021:10:20:13:25:17.371547,C9,CURR,axis: 0,None,None,0.0001669000048423,2021:10:20:13:25:16.379040,2021:10:20:13:25:16.436004
111,2021:10:20:13:25:17.688731,Tecan Cavro,_init_,ftdi: None,,None,0.0108426995575428,2021:10:20:13:25:16.737818,2021:10:20:13:25:16.752809
116,2021:10:20:13:25:18.192865,Magnetic Stirrer,_init_,serial: COM9,,None,0.0036390000022947,2021:10:20:13:25:17.249505,2021:10:20:13:25:17.260501
121,2021:10:20:13:25:18.501464,Magnetic Stirrer,IN_NAME,,None,None,0.0001829999964684,2021:10:20:13:25:17.497352,2021:10:20:13:25:17.565311
124,2021:10:20:13:25:18.690778,Magnetic Stirrer,IN_PV_1,,None,None,0.0001204000000143,2021:10:20:13:25:17.698228,2021:10:20:13:25:17.755193
127,2021:10:20:13:25:18.867598,Magnetic Stirrer,IN_PV_2,,None,None,0.0001554000045871,2021:10:20:13:25:17.875120,2021:10:20:13:25:17.932084
130,2021:10:20:13:25:19.059408,Magnetic Stirrer,IN_SP_1,,None,None,0.0001431999990018,2021:10:20:13:25:18.063006,2021:10:20:13:25:18.122969
133,2021:10:20:13:25:19.234265,Magnetic Stirrer,IN_PV_4,,None,None,0.0001953000028152,2021:10:20:13:25:18.242894,2021:10:20:13:25:18.298858
136,2021:10:20:13:25:19.408460,Magnetic Stirrer,IN_SP_4,,None,None,0.0001943999959621,2021:10:20:13:25:18.416788,2021:10:20:13:25:18.474752
139,2021:10:20:13:25:19.608893,Magnetic Stirrer,STOP_4,,None,None,0.000170800005435,2021:10:20:13:25:18.614666,2021:10:20:13:25:18.672630
140,2021:10:20:13:25:19.685687,Magnetic Stirrer,STOP_1,,None,None,0.0001632000057725,2021:10:20:13:25:18.687620,2021:10:20:13:25:18.749584
141,2021:10:20:13:25:33.381484,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None,13.686845779418944,2021:10:20:13:25:18.754585,2021:10:20:13:25:32.446173
142,2021:10:20:13:25:33.442880,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None,0.0109729003161191,2021:10:20:13:25:32.446173,2021:10:20:13:25:32.509136
143,2021:10:20:13:25:34.781824,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None,0.3972609043121338,2021:10:20:13:25:33.444559,2021:10:20:13:25:33.846313
144,2021:10:20:13:25:34.984552,Magnetic Stirrer,OUT_SP_1,30,None,None,0.0003048999933525,2021:10:20:13:25:34.040195,2021:10:20:13:25:34.050189
145,2021:10:20:13:25:35.003493,Magnetic Stirrer,START_1,,None,None,0.0001876000023912,2021:10:20:13:25:34.061182,2021:10:20:13:25:34.075177
146,2021:10:20:13:26:05.022984,Magnetic Stirrer,STOP_1,,None,None,0.0001514000032329,,
