id,Timestamp,Module,Method_Name,Arguments,Responses,Exceptions,Execution Time (Sec),Arrival_Time,Departure_Time
1,2021:10:20:13:01:51.478724,C9,_init_,ftdi: None,,None,0.0482035018503665,2021:10:20:13:01:50.503905,2021:10:20:13:01:50.562869
1,2021:10:20:13:01:51.478724,C9,_init_,ftdi: None,,None,0.0482035018503665,2021:10:20:13:07:44.452339,2021:10:20:13:07:44.486318
7,2021:10:20:13:01:52.429472,C9,PING,,None,None,0.0001532000023871,2021:10:20:13:01:51.431337,2021:10:20:13:01:51.515285
7,2021:10:20:13:01:52.429472,C9,PING,,None,None,0.0001532000023871,2021:10:20:13:07:44.895068,2021:10:20:13:07:44.903063
14,2021:10:20:13:01:52.988932,C9,BIAS,,None,None,0.0001467999973101,2021:10:20:13:01:52.003985,2021:10:20:13:01:52.070945
14,2021:10:20:13:01:52.988932,C9,BIAS,,None,None,0.0001467999973101,2021:10:20:13:07:44.951031,2021:10:20:13:07:44.959028
21,2021:10:20:13:01:53.574798,C9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.000156699999934,2021:10:20:13:01:52.575634,2021:10:20:13:01:52.656585
21,2021:10:20:13:01:53.574798,C9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.000156699999934,2021:10:20:13:07:45.096943,2021:10:20:13:07:45.106938
28,2021:10:20:13:01:54.065485,C9,BIAS,bias: 0,None,None,0.0001908999984152,2021:10:20:13:01:53.072329,2021:10:20:13:01:53.146283
28,2021:10:20:13:01:54.065485,C9,BIAS,bias: 0,None,None,0.0001908999984152,2021:10:20:13:07:45.186887,2021:10:20:13:07:45.195883
35,2021:10:20:13:01:54.562170,C9,HOME,if_needed: 1,None,None,0.0001897000038297,2021:10:20:13:01:53.573021,2021:10:20:13:01:53.644977
35,2021:10:20:13:01:54.562170,C9,HOME,if_needed: 1,None,None,0.0001897000038297,2021:10:20:13:07:45.252848,2021:10:20:13:07:45.261844
42,2021:10:20:13:01:55.074917,C9,CURR,axis: 0,None,None,0.0001495000033173,2021:10:20:13:01:54.088705,2021:10:20:13:01:54.156670
42,2021:10:20:13:01:55.074917,C9,CURR,axis: 0,None,None,0.0001495000033173,2021:10:20:13:07:45.307812,2021:10:20:13:07:45.315809
49,2021:10:20:13:01:55.573618,C9,CURR,axis: 0,None,None,0.0001477000041631,2021:10:20:13:01:54.587397,2021:10:20:13:01:54.655357
49,2021:10:20:13:01:55.573618,C9,CURR,axis: 0,None,None,0.0001477000041631,2021:10:20:13:07:45.364778,2021:10:20:13:07:45.372773
56,2021:10:20:13:01:56.099078,C9,CURR,axis: 0,None,None,0.0003518000012263,2021:10:20:13:01:55.108079,2021:10:20:13:01:55.182035
56,2021:10:20:13:01:56.099078,C9,CURR,axis: 0,None,None,0.0003518000012263,2021:10:20:13:07:45.418746,2021:10:20:13:07:45.428742
63,2021:10:20:13:01:56.573609,C9,CURR,axis: 0,None,None,0.0001717999984975,2021:10:20:13:01:55.593780,2021:10:20:13:01:55.655742
63,2021:10:20:13:01:56.573609,C9,CURR,axis: 0,None,None,0.0001717999984975,2021:10:20:13:07:45.476710,2021:10:20:13:07:45.482705
70,2021:10:20:13:01:57.061525,C9,CURR,axis: 0,None,None,0.0002195999986724,2021:10:20:13:01:56.074486,2021:10:20:13:01:56.144442
70,2021:10:20:13:01:57.061525,C9,CURR,axis: 0,None,None,0.0002195999986724,2021:10:20:13:07:45.529678,2021:10:20:13:07:45.537672
77,2021:10:20:13:01:57.565082,C9,CURR,axis: 0,None,None,0.0001742000022204,2021:10:20:13:01:56.575178,2021:10:20:13:01:56.647134
77,2021:10:20:13:01:57.565082,C9,CURR,axis: 0,None,None,0.0001742000022204,2021:10:20:13:07:45.590639,2021:10:20:13:07:45.600633
84,2021:10:20:13:01:58.085123,C9,CURR,axis: 0,None,None,0.0001833999995142,2021:10:20:13:01:57.092860,2021:10:20:13:01:57.166815
84,2021:10:20:13:01:58.085123,C9,CURR,axis: 0,None,None,0.0001833999995142,2021:10:20:13:07:45.659597,2021:10:20:13:07:45.669591
91,2021:10:20:13:01:58.566834,C9,CURR,axis: 0,None,None,0.0001174999997601,2021:10:20:13:01:57.583559,2021:10:20:13:01:57.648519
91,2021:10:20:13:01:58.566834,C9,CURR,axis: 0,None,None,0.0001174999997601,2021:10:20:13:07:45.722559,2021:10:20:13:07:45.730554
98,2021:10:20:13:01:59.055788,C9,CURR,axis: 0,None,None,0.0001642999995965,2021:10:20:13:01:58.072260,2021:10:20:13:01:58.137219
98,2021:10:20:13:01:59.055788,C9,CURR,axis: 0,None,None,0.0001642999995965,2021:10:20:13:07:45.790518,2021:10:20:13:07:45.800510
105,2021:10:20:13:01:59.552350,C9,CURR,axis: 0,None,None,0.0001723000023048,2021:10:20:13:01:58.562957,2021:10:20:13:01:58.633914
105,2021:10:20:13:01:59.552350,C9,CURR,axis: 0,None,None,0.0001723000023048,2021:10:20:13:07:45.854478,2021:10:20:13:07:45.863472
111,2021:10:20:13:01:59.916381,Tecan Cavro,_init_,ftdi: None,,None,0.0056350999511778,2021:10:20:13:01:58.989695,2021:10:20:13:01:58.999691
111,2021:10:20:13:01:59.916381,Tecan Cavro,_init_,ftdi: None,,None,0.0056350999511778,2021:10:20:13:07:45.920437,2021:10:20:13:07:45.927433
116,2021:10:20:13:02:00.472901,Magnetic Stirrer,_init_,serial: COM9,,None,0.0042461999692022,2021:10:20:13:01:59.546354,2021:10:20:13:01:59.554349
116,2021:10:20:13:02:00.472901,Magnetic Stirrer,_init_,serial: COM9,,None,0.0042461999692022,2021:10:20:13:07:45.964410,2021:10:20:13:07:45.974404
121,2021:10:20:13:02:00.841932,Magnetic Stirrer,IN_NAME,,None,None,0.0002359000063734,2021:10:20:13:01:59.845169,2021:10:20:13:01:59.924122
121,2021:10:20:13:02:00.841932,Magnetic Stirrer,IN_NAME,,None,None,0.0002359000063734,2021:10:20:13:07:46.017376,2021:10:20:13:07:46.027370
124,2021:10:20:13:02:01.104540,Magnetic Stirrer,IN_PV_1,,None,None,0.0001830999972298,2021:10:20:13:02:00.095016,2021:10:20:13:02:00.186960
124,2021:10:20:13:02:01.104540,Magnetic Stirrer,IN_PV_1,,None,None,0.0001830999972298,2021:10:20:13:07:46.046361,2021:10:20:13:07:46.054361
127,2021:10:20:13:02:01.330935,Magnetic Stirrer,IN_PV_2,,None,None,0.0001959999935934,2021:10:20:13:02:00.346862,2021:10:20:13:02:00.412822
127,2021:10:20:13:02:01.330935,Magnetic Stirrer,IN_PV_2,,None,None,0.0001959999935934,2021:10:20:13:07:46.076340,2021:10:20:13:07:46.088334
130,2021:10:20:13:02:01.556335,Magnetic Stirrer,IN_SP_1,,None,None,0.0002474999928381,2021:10:20:13:02:00.558732,2021:10:20:13:02:00.637683
130,2021:10:20:13:02:01.556335,Magnetic Stirrer,IN_SP_1,,None,None,0.0002474999928381,2021:10:20:13:07:46.109322,2021:10:20:13:07:46.118316
133,2021:10:20:13:02:01.766352,Magnetic Stirrer,IN_PV_4,,None,None,0.0001854000001912,2021:10:20:13:02:00.777599,2021:10:20:13:02:00.848555
133,2021:10:20:13:02:01.766352,Magnetic Stirrer,IN_PV_4,,None,None,0.0001854000001912,2021:10:20:13:07:46.140303,2021:10:20:13:07:46.151296
136,2021:10:20:13:02:01.975201,Magnetic Stirrer,IN_SP_4,,None,None,0.0001829999964684,2021:10:20:13:02:00.988469,2021:10:20:13:02:01.056426
136,2021:10:20:13:02:01.975201,Magnetic Stirrer,IN_SP_4,,None,None,0.0001829999964684,2021:10:20:13:07:46.170284,2021:10:20:13:07:46.179278
139,2021:10:20:13:02:02.198588,Magnetic Stirrer,STOP_4,,None,None,0.0001937000051839,2021:10:20:13:02:01.210333,2021:10:20:13:02:01.280289
139,2021:10:20:13:02:02.198588,Magnetic Stirrer,STOP_4,,None,None,0.0001937000051839,2021:10:20:13:07:46.198267,2021:10:20:13:07:46.213258
140,2021:10:20:13:02:02.278377,Magnetic Stirrer,STOP_1,,None,None,0.000150299994857,2021:10:20:13:02:01.296279,2021:10:20:13:02:01.360240
140,2021:10:20:13:02:02.278377,Magnetic Stirrer,STOP_1,,None,None,0.000150299994857,2021:10:20:13:07:46.213258,2021:10:20:13:07:46.223251
141,2021:10:20:13:02:15.977157,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None,13.690837860107422,2021:10:20:13:02:01.364238,2021:10:20:13:02:15.059828
141,2021:10:20:13:02:15.977157,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None,13.690837860107422,2021:10:20:13:07:46.223251,2021:10:20:13:07:46.233245
142,2021:10:20:13:02:16.050956,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None,0.0123688001185655,2021:10:20:13:02:15.059828,2021:10:20:13:02:15.131785
142,2021:10:20:13:02:16.050956,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None,0.0123688001185655,2021:10:20:13:07:46.233245,2021:10:20:13:07:46.242240
143,2021:10:20:13:02:17.233459,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None,0.231870099902153,2021:10:20:13:02:16.079203,2021:10:20:13:02:16.315057
143,2021:10:20:13:02:17.233459,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None,0.231870099902153,2021:10:20:13:07:46.245238,2021:10:20:13:07:46.253231
144,2021:10:20:13:02:21.109768,ArduinoAugmentedQuantos,lock_dosing_pin_position,,None,None,3.642154216766357,2021:10:20:13:02:16.533923,2021:10:20:13:02:20.190678
144,2021:10:20:13:02:21.109768,ArduinoAugmentedQuantos,lock_dosing_pin_position,,None,None,3.642154216766357,2021:10:20:13:07:46.253231,2021:10:20:13:07:46.261230
146,2021:10:20:13:02:37.447281,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None,2.4465298652648926,2021:10:20:13:02:34.077151,2021:10:20:13:02:36.528646
146,2021:10:20:13:02:37.447281,ArduinoAugmentedQuantos,unlock_dosing_pin_position,,None,None,2.4465298652648926,2021:10:20:13:07:46.271222,2021:10:20:13:07:46.279217
148,2021:10:20:13:02:37.478202,C9,OUTP,"output: 0, value: 0",None,None,0.0001338000001851,2021:10:20:13:02:36.553631,2021:10:20:13:02:36.559627
148,2021:10:20:13:02:37.478202,C9,OUTP,"output: 0, value: 0",None,None,0.0001338000001851,2021:10:20:13:07:46.290211,2021:10:20:13:07:46.300205
159,2021:10:20:13:02:37.583925,C9,JLEN,length_offset: 0,None,None,0.0001691000070422,2021:10:20:13:02:36.655569,2021:10:20:13:02:36.664563
159,2021:10:20:13:02:37.583925,C9,JLEN,length_offset: 0,None,None,0.0001691000070422,2021:10:20:13:07:46.400144,2021:10:20:13:07:46.412134
170,2021:10:20:13:02:37.704165,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 300000, gripper: -75000, elbow_bias: 0",None,None,0.00017939999816,2021:10:20:13:02:36.776494,2021:10:20:13:02:36.788486
170,2021:10:20:13:02:37.704165,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 300000, gripper: -75000, elbow_bias: 0",None,None,0.00017939999816,2021:10:20:13:07:47.026758,2021:10:20:13:07:47.034753
185,2021:10:20:13:02:39.284558,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001688000047579,2021:10:20:13:02:38.358523,2021:10:20:13:02:38.365518
185,2021:10:20:13:02:39.284558,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001688000047579,2021:10:20:13:07:47.267610,2021:10:20:13:07:47.276605
196,2021:10:20:13:02:39.421455,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001875000016298,2021:10:20:13:02:38.492440,2021:10:20:13:02:38.504432
196,2021:10:20:13:02:39.421455,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001875000016298,2021:10:20:13:07:47.368548,2021:10:20:13:07:47.384538
207,2021:10:20:13:02:39.558311,C9,MVNG,"axes: 1,2,3,0",None,None,0.0002145000034943,2021:10:20:13:02:38.630355,2021:10:20:13:02:38.640350
207,2021:10:20:13:02:39.558311,C9,MVNG,"axes: 1,2,3,0",None,None,0.0002145000034943,2021:10:20:13:07:47.497470,2021:10:20:13:07:47.505464
218,2021:10:20:13:02:39.688962,C9,MVNG,"axes: 1,2,3,0",None,None,0.000253000005614,2021:10:20:13:02:38.760275,2021:10:20:13:02:38.769270
218,2021:10:20:13:02:39.688962,C9,MVNG,"axes: 1,2,3,0",None,None,0.000253000005614,2021:10:20:13:07:47.609409,2021:10:20:13:07:47.617395
233,2021:10:20:13:02:39.859923,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001729000068735,2021:10:20:13:02:38.932169,2021:10:20:13:02:38.941167
233,2021:10:20:13:02:39.859923,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001729000068735,2021:10:20:13:07:47.858247,2021:10:20:13:07:47.868247
244,2021:10:20:13:02:39.984561,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001520999940112,2021:10:20:13:02:39.055095,2021:10:20:13:02:39.066088
244,2021:10:20:13:02:39.984561,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001520999940112,2021:10:20:13:07:47.963736,2021:10:20:13:07:47.971732
255,2021:10:20:13:02:40.130911,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001970000012079,2021:10:20:13:02:39.204004,2021:10:20:13:02:39.211999
255,2021:10:20:13:02:40.130911,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001970000012079,2021:10:20:13:07:48.075667,2021:10:20:13:07:48.083663
266,2021:10:20:13:02:40.264608,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001999999949475,2021:10:20:13:02:39.333922,2021:10:20:13:02:39.346915
266,2021:10:20:13:02:40.264608,C9,MVNG,"axes: 1,2,3,0",None,None,0.0001999999949475,2021:10:20:13:07:48.200589,2021:10:20:13:07:48.208584
281,2021:10:20:13:02:40.416631,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 110000, elbow_bias: 0",None,None,0.0002180000010412,2021:10:20:13:02:39.489828,2021:10:20:13:02:39.497823
281,2021:10:20:13:02:40.416631,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 110000, elbow_bias: 0",None,None,0.0002180000010412,2021:10:20:13:07:48.363492,2021:10:20:13:07:48.380479
296,2021:10:20:13:02:42.116158,C9,MVNG,"axes: 1,2,3",None,None,0.00031120001222,2021:10:20:13:02:41.185785,2021:10:20:13:02:41.198778
296,2021:10:20:13:02:42.116158,C9,MVNG,"axes: 1,2,3",None,None,0.00031120001222,2021:10:20:13:07:48.572362,2021:10:20:13:07:48.668304
307,2021:10:20:13:02:42.250793,C9,MVNG,"axes: 1,2,3",None,None,0.0002035999932559,2021:10:20:13:02:41.320704,2021:10:20:13:02:41.331696
307,2021:10:20:13:02:42.250793,C9,MVNG,"axes: 1,2,3",None,None,0.0002035999932559,2021:10:20:13:07:48.833202,2021:10:20:13:07:48.843196
318,2021:10:20:13:02:42.377998,C9,MVNG,"axes: 1,2,3",None,None,0.0001769999944372,2021:10:20:13:02:41.450625,2021:10:20:13:02:41.460617
318,2021:10:20:13:02:42.377998,C9,MVNG,"axes: 1,2,3",None,None,0.0001769999944372,2021:10:20:13:07:49.226980,2021:10:20:13:07:49.235973
329,2021:10:20:13:02:42.996879,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 101700, elbow_bias: 0",None,None,0.0002690000110305,2021:10:20:13:02:42.069244,2021:10:20:13:02:42.078238
329,2021:10:20:13:02:42.996879,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 101700, elbow_bias: 0",None,None,0.0002690000110305,2021:10:20:13:07:49.414869,2021:10:20:13:07:49.424864
344,2021:10:20:13:02:43.466039,C9,MVNG,"axes: 1,2,3",None,None,0.0001391999976476,2021:10:20:13:02:42.538956,2021:10:20:13:02:42.546951
344,2021:10:20:13:02:43.466039,C9,MVNG,"axes: 1,2,3",None,None,0.0001391999976476,2021:10:20:13:07:49.585770,2021:10:20:13:07:49.593765
355,2021:10:20:13:02:43.575746,C9,OUTP,"output: 0, value: 1",None,None,0.0001287000050069,2021:10:20:13:02:42.649887,2021:10:20:13:02:42.658882
355,2021:10:20:13:02:43.575746,C9,OUTP,"output: 0, value: 1",None,None,0.0001287000050069,2021:10:20:13:07:49.786646,2021:10:20:13:07:49.796640
366,2021:10:20:13:02:43.686054,C9,ARM,"velocity: 20000, acceleration: 20000, X: -80359, Y: 114900, Z: 300000, elbow_bias: 0",None,None,0.0001747000060277,2021:10:20:13:02:42.759820,2021:10:20:13:02:42.766816
