Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:19:14:38:41.436035,C9,_init_,ftdi: None,,None
2021:10:19:14:38:41.438030,C9,PING,,None,None
2021:10:19:14:38:41.440024,C9,BIAS,,None,None
2021:10:19:14:38:41.442018,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:19:14:38:41.445010,C9,BIAS,bias: 0,None,None
2021:10:19:14:38:41.447005,C9,HOME,if_needed: 1,None,None
2021:10:19:14:38:41.449000,C9,SPED,,None,None
2021:10:19:14:38:41.451992,C9,BIAS,,None,None
2021:10:19:14:38:41.453987,C9,SPED,"velocity: 40000, acceleration: 100000",None,None
2021:10:19:14:38:41.456978,C9,BIAS,bias: 2,None,None
2021:10:19:14:38:41.461965,C9,POS,"axes: 1,units: 1",None,None
2021:10:19:14:38:41.463960,C9,POS,"axes: 2,units: 1",None,None
2021:10:19:14:38:41.466952,C9,POS,"axes: 0,units: 1",None,None
2021:10:19:14:38:41.468946,C9,POS,C: 1,None,None
2021:10:19:14:38:41.471939,C9,JLEN,length_offset: 0,None,None
2021:10:19:14:38:41.472936,C9,POS,"axes: 1,units: 1",None,None
2021:10:19:14:38:41.478932,C9,ARM,"X: -141100, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.481912,C9,POS,"axes: 2,units: 1",None,None
2021:10:19:14:38:41.484905,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.486899,C9,POS,"axes: 0,units: 1",None,None
2021:10:19:14:38:41.492882,C9,ARM,"X: -140600, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.496872,C9,POS,C: 1,None,None
2021:10:19:14:38:41.499864,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.501859,C9,ARM,"X: -140100, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.503853,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.510835,C9,ARM,"X: -139600, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.513827,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.515823,C9,ARM,"X: -139100, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.518813,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.525799,C9,ARM,"X: -138600, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.528788,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.530782,C9,ARM,"X: -138100, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.533773,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:38:41.535768,C9,ARM,"X: -137600, Y: 309300, Z: 304490, gripper: 28956, elbow_bias: 2",None,None
2021:10:19:14:38:41.542750,C9,MVNG,"axes: 1,2,3,0",None,None
