Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:05:11:16:30.860119,C9,_init_,ftdi: None,,None
2021:10:05:11:16:32.199520,C9,PING,,None,None
2021:10:05:11:16:33.175819,C9,BIAS,,None,None
2021:10:05:11:16:34.135364,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:05:11:16:35.090130,C9,BIAS,bias: 0,None,None
2021:10:05:11:16:35.989474,C9,HOME,if_needed: 1,None,None
2021:10:05:11:16:36.893971,C9,CURR,axis: 0,None,None
2021:10:05:11:16:37.804571,C9,CURR,axis: 0,None,None
2021:10:05:11:16:38.715752,C9,CURR,axis: 0,None,None
2021:10:05:11:16:39.639383,C9,CURR,axis: 0,None,None
2021:10:05:11:16:40.530544,C9,CURR,axis: 0,None,None
2021:10:05:11:16:41.451410,C9,CURR,axis: 0,None,None
2021:10:05:11:16:42.362317,C9,CURR,axis: 0,None,None
2021:10:05:11:16:43.266240,C9,CURR,axis: 0,None,None
2021:10:05:11:16:44.184029,C9,CURR,axis: 0,None,None
2021:10:05:11:16:45.098864,C9,CURR,axis: 0,None,None
2021:10:05:11:16:45.756711,Tecan Cavro,_init_,ftdi: None,,None
2021:10:05:11:16:46.526009,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:05:11:16:47.173443,Magnetic Stirrer,IN_NAME,,None,None
2021:10:05:11:16:47.578402,Magnetic Stirrer,IN_PV_1,,None,None
2021:10:05:11:16:47.975480,Magnetic Stirrer,IN_PV_2,,None,None
2021:10:05:11:16:48.361553,Magnetic Stirrer,IN_SP_1,,None,None
2021:10:05:11:16:48.753505,Magnetic Stirrer,IN_PV_4,,None,None
2021:10:05:11:16:49.155423,Magnetic Stirrer,IN_SP_4,,None,None
2021:10:05:11:16:49.575664,Magnetic Stirrer,STOP_4,,None,None
2021:10:05:11:16:49.744246,Magnetic Stirrer,STOP_1,,None,None
2021:10:05:11:21:16.451402,C9,_init_,ftdi: None,,None
2021:10:05:11:21:17.759336,C9,PING,,None,None
2021:10:05:11:21:18.666113,C9,BIAS,,None,None
2021:10:05:11:21:19.591069,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:05:11:21:20.487141,C9,BIAS,bias: 0,None,None
2021:10:05:11:21:21.418066,C9,HOME,if_needed: 1,None,None
2021:10:05:11:21:22.289133,C9,CURR,axis: 0,None,None
2021:10:05:11:21:23.162565,C9,CURR,axis: 0,None,None
2021:10:05:11:21:24.019506,C9,CURR,axis: 0,None,None
2021:10:05:11:21:24.873364,C9,CURR,axis: 0,None,None
2021:10:05:11:21:25.717841,C9,CURR,axis: 0,None,None
2021:10:05:11:21:26.552492,C9,CURR,axis: 0,None,None
2021:10:05:11:21:27.425803,C9,CURR,axis: 0,None,None
2021:10:05:11:21:28.282136,C9,CURR,axis: 0,None,None
2021:10:05:11:21:29.145398,C9,CURR,axis: 0,None,None
2021:10:05:11:21:30.008085,C9,CURR,axis: 0,None,None
2021:10:05:11:21:30.754638,Tecan Cavro,_init_,ftdi: None,,None
2021:10:05:11:21:31.592612,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:05:11:21:32.307185,Magnetic Stirrer,IN_NAME,,None,None
2021:10:05:11:21:32.751143,Magnetic Stirrer,IN_PV_1,,None,None
