id,Timestamp,Module,Method_Name,Arguments,Responses,Exceptions,Execution Time (Sec),Arrival_Time,Departure_Time
1,2021:10:20:13:16:17.727651,C9,_init_,ftdi: None,,None,0.0273278001695871,2021:10:20:13:16:16.764856,2021:10:20:13:16:16.800834
7,2021:10:20:13:16:18.552992,C9,PING,,None,None,0.0001451999996788,2021:10:20:13:16:17.567363,2021:10:20:13:16:17.623331
14,2021:10:20:13:16:19.031714,C9,BIAS,,None,None,0.0003132999991066,2021:10:20:13:16:18.049067,2021:10:20:13:16:18.104034
21,2021:10:20:13:16:19.466905,C9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.0002956000098492,2021:10:20:13:16:18.478803,2021:10:20:13:16:18.538766
28,2021:10:20:13:16:19.881151,C9,BIAS,bias: 0,None,None,0.000223700000788,2021:10:20:13:16:18.901544,2021:10:20:13:16:18.951514
35,2021:10:20:13:16:20.280681,C9,HOME,if_needed: 1,None,None,0.0002377000055275,2021:10:20:13:16:19.297301,2021:10:20:13:16:19.352266
42,2021:10:20:13:16:20.727471,C9,CURR,axis: 0,None,None,0.0001850999979069,2021:10:20:13:16:19.733034,2021:10:20:13:16:19.797995
49,2021:10:20:13:16:21.144481,C9,CURR,axis: 0,None,None,0.0003154999867547,2021:10:20:13:16:20.159771,2021:10:20:13:16:20.216737
56,2021:10:20:13:16:21.549176,C9,CURR,axis: 0,None,None,0.0001699999993434,2021:10:20:13:16:20.558527,2021:10:20:13:16:20.620489
63,2021:10:20:13:16:21.971229,C9,CURR,axis: 0,None,None,0.0001248000044142,2021:10:20:13:16:20.987264,2021:10:20:13:16:21.042229
70,2021:10:20:13:16:22.419726,C9,CURR,axis: 0,None,None,0.0002775999892037,2021:10:20:13:16:21.429991,2021:10:20:13:16:21.491954
77,2021:10:20:13:16:22.844563,C9,CURR,axis: 0,None,None,0.0001540999946882,2021:10:20:13:16:21.859727,2021:10:20:13:16:21.915694
84,2021:10:20:13:16:23.246473,C9,CURR,axis: 0,None,None,0.0001941999944392,2021:10:20:13:16:22.256484,2021:10:20:13:16:22.319446
91,2021:10:20:13:16:23.647593,C9,CURR,axis: 0,None,None,0.0001100000008591,2021:10:20:13:16:22.665233,2021:10:20:13:16:22.719200
98,2021:10:20:13:16:24.042175,C9,CURR,axis: 0,None,None,0.0001563999976497,2021:10:20:13:16:23.060990,2021:10:20:13:16:23.112959
105,2021:10:20:13:16:24.434903,C9,CURR,axis: 0,None,None,0.0002571000077296,2021:10:20:13:16:23.450751,2021:10:20:13:16:23.505718
111,2021:10:20:13:16:24.741409,Tecan Cavro,_init_,ftdi: None,,None,0.0102640995755791,2021:10:20:13:16:23.799538,2021:10:20:13:16:23.812534
116,2021:10:20:13:16:25.281967,Magnetic Stirrer,_init_,serial: COM9,,None,0.0042238999158144,2021:10:20:13:16:24.341206,2021:10:20:13:16:24.354195
121,2021:10:20:13:16:25.638543,Magnetic Stirrer,IN_NAME,,None,None,0.0001691999932518,2021:10:20:13:16:24.651014,2021:10:20:13:16:24.709976
124,2021:10:20:13:16:25.818441,Magnetic Stirrer,IN_PV_1,,None,None,0.0001239999983226,2021:10:20:13:16:24.834901,2021:10:20:13:16:24.889868
127,2021:10:20:13:16:25.989986,Magnetic Stirrer,IN_PV_2,,None,None,0.0001905999961309,2021:10:20:13:16:25.004795,2021:10:20:13:16:25.062761
130,2021:10:20:13:16:26.168229,Magnetic Stirrer,IN_SP_1,,None,None,0.0001785000058589,2021:10:20:13:16:25.181689,2021:10:20:13:16:25.239654
133,2021:10:20:13:16:26.344913,Magnetic Stirrer,IN_PV_4,,None,None,0.0001926999975694,2021:10:20:13:16:25.360578,2021:10:20:13:16:25.415545
136,2021:10:20:13:16:26.514460,Magnetic Stirrer,IN_SP_4,,None,None,0.0002167000056942,2021:10:20:13:16:25.529475,2021:10:20:13:16:25.585440
139,2021:10:20:13:16:26.712913,Magnetic Stirrer,STOP_4,,None,None,0.0002749999985098,2021:10:20:13:16:25.726354,2021:10:20:13:16:25.785317
140,2021:10:20:13:16:26.784759,Magnetic Stirrer,STOP_1,,None,None,0.0001603999990038,2021:10:20:13:16:25.801311,2021:10:20:13:16:25.857272
141,2021:10:20:13:16:40.482222,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None,13.687164306640623,2021:10:20:13:16:25.862269,2021:10:20:13:16:39.552864
142,2021:10:20:13:16:40.547046,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None,0.0124893002212047,2021:10:20:13:16:39.552864,2021:10:20:13:16:39.618824
143,2021:10:20:13:16:41.731768,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None,0.2282885015010833,2021:10:20:13:16:40.570238,2021:10:20:13:16:40.803095
144,2021:10:20:13:16:41.937197,Magnetic Stirrer,OUT_SP_4,1500,None,None,0.0001958999928319,2021:10:20:13:16:40.998976,2021:10:20:13:16:41.008969
145,2021:10:20:13:16:41.953151,Magnetic Stirrer,START_4,,None,None,0.0001810999965528,2021:10:20:13:16:41.017965,2021:10:20:13:16:41.025960
146,2021:10:20:13:17:11.966977,Magnetic Stirrer,STOP_4,,None,None,0.0001571000029798,,
